Desa,URL,lonngitude,latitude,Kecamatan,Kabupaten/Kota,Provinsi
CANGKUANG KULON,cangkuangkulon.desa.id,107.594402,-6.97603,Dayeuhkolot,Bandung,Jawa Barat
CANGKUANG WETAN,cangkuangwetan.desa.id,107.604339,-6.974978,Dayeuhkolot,Bandung,Jawa Barat
DAYEUHKOLOT,dayeuhkolot.desa.id,107.623779,-6.98602,Dayeuhkolot,Bandung,Jawa Barat
CITEUREUP,citeureup.desa.id,107.6175577,-6.9811354,Dayeuhkolot,Bandung,Jawa Barat
SUKAPURA,sukapura.desa.id,107.628841,-6.971236,Dayeuhkolot,Bandung,Jawa Barat
BOJONGSARI,bojongsari.desa.id,107.650726,-7.005545,Bojong Soang,Bandung,Jawa Barat
BOJONGSOANG,bojongsoang.desa.id,107.644344,-6.993959,Bojong Soang,Bandung,Jawa Barat
LENGKONG,lengkong.desa.id,107.657756,-6.986858,Bojong Soang,Bandung,Jawa Barat
CIPAGALO,cipagalo.desa.id,107.649128,-6.975674,Bojong Soang,Bandung,Jawa Barat
BUAHBATU,buahbatu.desa.id,107.669166,-6.983426,Bojong Soang,Bandung,Jawa Barat
TEGALLUAR,,107.687202,-6.98383,Bojong Soang,Bandung,Jawa Barat
CIBIRU HILIR,cibiruhilir.desa.id,107.714344,-6.960694,Cileunyi,Bandung,Jawa Barat
CINUNUK,cinunuk.desa.id,107.729187,-6.939135,Cileunyi,Bandung,Jawa Barat
CIMEKAR,cimekar.desa.id,107.737289,-6.942128,Cileunyi,Bandung,Jawa Barat
CILEUNYI KULON,cileunyikulon.desa.id,107.7201944,-6.9364452,Cileunyi,Bandung,Jawa Barat
CILEUNYI WETAN,cileunyiwetan.desa.id,107.753927,-6.933059,Cileunyi,Bandung,Jawa Barat
CIBIRU WETAN,cibiruwetan.desa.id,107.735087,-6.922763,Cileunyi,Bandung,Jawa Barat
GIRIMEKAR,girimekar.desa.id,107.69926,-6.886135,Cilengkrang,Bandung,Jawa Barat
JATIENDAH,jatiendah.desa.id,107.693306,-6.90987,Cilengkrang,Bandung,Jawa Barat
MELATIWANGI,melatiwangi.desa.id,107.713482,-6.884706,Cilengkrang,Bandung,Jawa Barat
CIPANJALU,cipanjalu.desa.id,107.6934055,-6.856896,Cilengkrang,Bandung,Jawa Barat
CIPOREAT,ciporeat.desa.id,107.729141,-6.890203,Cilengkrang,Bandung,Jawa Barat
CILENGKRANG,cilengkrang.desa.id,107.737453,-6.895061,Cilengkrang,Bandung,Jawa Barat
MANDALAMEKAR,mandalamekar-cimenyan.desa.id,107.670875,-6.885459,Cimenyan,Bandung,Jawa Barat
